Title,Keyword,Keyword_code,Keyword_ID,Position,Previous position,Search Volume,CPC,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Number of Results,Trends,Last Seen,Keyword Difficulty,Cluster
Project Management Training,purdue project management essentials,pmp,1,5,5,30,5.11,0,0.0,0,0.0,0.15,186000,"[18,18,81,18,18,18,18,18,18,18,18,18]",2025-01-01,34.0,0
Leading SAFe® 6 Certification | Special Offer: Get $250 Off,safe 6.0 certification,safe,9,4,4,70,4.43,0,0.0,0,0.0,0.57,332000000,"[65,53,34,19,26,7,26,34,11,15,3,53]",2025-01-22,38.0,0
SAFe® Agilist Certification | Special Offer: Get $250 Off,safe certification,safe,9,2,2,6600,3.77,85,0.45,320,0.49,0.41,1400000000,"[24,29,24,24,24,19,19,24,29,100,81,19]",2025-01-24,48.0,0
SAFe® Agilist Certification | Special Offer: Get $250 Off,scale agile certification - safe,safe,9,2,0,720,3.77,9,0.04,33,0.05,0.41,37100000,"[0,0,0,0,0,0,0,0,0,100,0,0]",2025-01-26,44.0,0
SAFe® Agilist Certification | Special Offer: Get $250 Off,scaled agile framework certification - safe,safe,9,4,4,2900,3.77,20,0.1,75,0.11,0.41,5330000,"[19,44,29,16,23,44,44,23,54,29,100,7]",2025-01-10,57.0,1
SAFe® Agilist Certification | Limited Offer: Enroll @ $545,scaled agile framework certification - safe,safe,9,6,6,2900,3.77,14,0.07,52,0.08,0.41,5330000,"[19,44,29,16,23,44,44,23,54,29,100,7]",2025-01-10,57.0,1
Certified Scrum Product Owner® | Limited Offer: Flat $279 Off,scrum alliance csm certification cost,scrum,2,4,4,90,2.62,0,0.0,0,0.0,0.39,512000,"[6,28,34,28,6,28,100,53,15,15,12,15]",2025-01-16,47.0,0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,scrum master certification,scrum,2,1,1,18100,3.21,850,4.55,2728,4.2,0.64,32000000,"[44,54,54,44,44,44,54,54,44,54,44,44]",2025-01-10,70.0,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,scrum master certification,scrum,2,2,2,18100,3.21,235,1.25,754,1.16,0.64,16000000,"[44,54,54,44,44,44,54,54,44,54,44,44]",2025-01-07,70.0,1
Become a Certified ScrumMaster | Today's Offer: Up To 51% Off,scrum master certification,scrum,2,3,3,18100,3.21,162,0.86,520,0.8,0.64,31900000,"[44,54,54,44,44,44,54,54,44,54,44,44]",2025-01-04,74.0,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,scrum master certification,scrum,2,5,5,18100,3.4,90,0.48,306,0.47,0.56,32700000,"[44,44,54,54,44,44,44,54,54,44,54,44]",2024-12-29,74.0,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,scrum master certification,scrum,2,1,1,1600,0.0,75,0.4,0,0.0,0.0,16200000,[100],2025-01-02,68.0,1
CSM Scrum Master Course Online - Today's Offer: Up To 51% Off,scrum master certification,scrum,2,4,4,40,3.4,0,0.0,0,0.0,0.56,32400000,"[0,0,0,0,0,0,0,100,0,0,0,0]",2024-12-31,64.0,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,scrum master certification course,scrum,2,4,4,140,5.46,0,0.0,0,0.0,0.43,13800000,"[6,6,8,11,44,35,54,15,100,6,6,3]",2025-01-24,62.0,1
Certified Scrum Product Owner® | Limited Offer: Flat $279 Off,scrum master certification free,scrum,2,4,4,1000,1.79,7,0.03,12,0.01,0.55,4570000,"[16,20,20,20,20,16,13,100,80,13,10,13]",2025-01-06,42.0,0
SAFe® Agile Training & Exam | Special Offer: Get $250 Off,scrum safe certification,safe,9,3,3,30,3.86,0,0.0,0,0.0,0.51,7270000,"[52,5,11,11,23,29,11,17,11,23,11,29]",2025-01-26,27.0,0
Simplilearn® Courses | Online Certification Courses,simplilearn,simplilearn,3,1,1,8100,2.31,380,2.03,877,1.35,0.14,4880000,"[44,54,44,54,44,66,54,54,54,54,81,44]",2025-01-25,48.0,0
Simplilearn® Courses | Online Certification Courses,simplilearn,simplilearn,3,2,2,8100,2.31,105,0.56,242,0.37,0.14,4490000,"[44,54,44,54,44,66,54,54,54,54,81,44]",2025-01-12,68.0,1
Simplilearn® Courses - Online Certification Courses,simplilearn,simplilearn,3,1,1,1000,2.31,47,0.25,108,0.16,0.14,4340000,"[41,41,66,4,79,36,30,41,30,41,100,20]",2025-01-13,56.0,1
Simplilearn® Courses - Online Certification Courses,simplilearn,simplilearn,3,1,1,1000,2.31,47,0.25,108,0.16,0.14,4430000,"[37,100,11,84,84,37,37,52,46,68,84,46]",2025-01-06,66.0,1
Simplilearn® Courses | Online Certification Courses,simplilearn,simplilearn,3,1,1,1000,2.31,47,0.25,108,0.16,0.14,4350000,"[7,13,8,41,41,41,36,54,30,79,66,36]",2025-01-06,62.0,1
Simplilearn® Courses - Online Certification Courses,simplilearn,simplilearn,3,1,1,590,2.31,27,0.14,62,0.09,0.14,0,"[55,100,13,13,36,8,24,8,20,81,36,30]",2025-01-17,80.0,1
Simplilearn® Courses - Online Certification Courses,simplilearn,simplilearn,3,1,1,390,2.31,18,0.09,41,0.06,0.14,4380000,"[7,100,0,0,0,7,13,13,37,13,25,37]",2025-01-06,70.0,1
Simplilearn® Courses,simplilearn,simplilearn,3,2,2,1000,2.31,13,0.06,30,0.04,0.14,4350000,"[7,13,8,41,41,41,36,54,30,79,66,36]",2025-01-06,62.0,1
Simplilearn® Courses,simplilearn,simplilearn,3,1,1,260,1.88,12,0.06,22,0.03,0.16,4570000,"[67,0,100,0,0,0,0,55,0,0,0,0]",2025-01-01,48.0,0
Simplilearn® Official Site,simplilearn,simplilearn,3,1,1,210,2.31,9,0.04,20,0.03,0.14,4330000,"[0,0,0,100,0,0,0,0,45,0,8,0]",2025-01-05,63.0,1
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn,simplilearn,3,1,1,170,2.31,7,0.03,16,0.02,0.14,4260000,"[4,100,12,12,1,0,54,15,44,4,54,29]",2025-01-22,49.0,0
Simplilearn® Courses,simplilearn,simplilearn,3,2,2,590,1.88,7,0.03,13,0.02,0.16,4820000,"[24,55,100,13,13,36,8,24,8,20,81,36]",2025-01-01,47.0,0
Simplilearn Courses,simplilearn,simplilearn,3,1,1,170,0.0,7,0.03,0,0.0,0.0,4240000,"[0,0,0,0,100,1,0,0,36,0,0,1]",2025-01-13,78.0,1
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn,simplilearn,3,1,1,140,2.31,6,0.03,13,0.02,0.14,4210000,"[0,0,0,0,0,0,0,100,0,0,81,0]",2025-01-22,49.0,0
Simplilearn® Courses | Online Certification Courses,simplilearn,simplilearn,3,1,1,140,2.31,6,0.03,13,0.02,0.14,4480000,"[0,0,0,0,0,0,0,0,100,0,0,0]",2025-01-18,38.0,0
Simplilearn® Courses,simplilearn,simplilearn,3,1,1,140,2.31,6,0.03,13,0.02,0.14,4340000,"[0,0,0,0,0,0,0,0,100,0,0,0]",2025-01-19,49.0,0
Simplilearn® Official Site - Online Certification Courses,simplilearn,simplilearn,3,1,1,140,2.31,6,0.03,13,0.02,0.14,4210000,"[7,100,11,14,1,0,2,1,39,1,1,1]",2025-01-15,54.0,1
Simplilearn® Courses | Online Certification Courses,simplilearn,simplilearn,3,1,1,110,1.88,5,0.02,9,0.01,0.16,4570000,"[0,0,100,0,0,0,0,0,0,0,0,0]",2024-12-31,44.0,0
Simplilearn® Courses | Level Up Your Skills | Launch Your Career,simplilearn,simplilearn,3,1,1,90,1.88,4,0.02,7,0.01,0.16,4460000,"[0,0,100,0,0,0,0,0,0,0,0,0]",2025-01-02,38.0,0
Simplilearn Online Bootcamps | Level Up Your Skills,simplilearn,simplilearn,3,1,1,70,2.31,3,0.01,6,0.0,0.14,4260000,"[11,0,26,26,53,42,34,53,26,3,34,15]",2025-01-23,62.0,1
Simplilearn® Courses | Online Certification Courses,simplilearn,simplilearn,3,1,0,70,2.31,3,0.01,6,0.0,0.14,4490000,"[2,0,4,5,0,0,0,8,0,0,4,0]",2025-01-26,58.0,1
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn,simplilearn,3,1,1,70,1.88,3,0.01,5,0.0,0.16,4610000,"[4,8,4,14,4,2,2,2,54,2,35,29]",2025-01-02,68.0,1
Simplilearn® Official Site | Online Certification Courses,simplilearn,simplilearn,3,1,1,70,0.0,3,0.01,0,0.0,0.0,4130000,"[0,0,0,0,0,0,0,100,0,0,0,0]",2025-01-22,47.0,0
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn,simplilearn,3,1,1,50,2.31,2,0.01,4,0.0,0.14,4410000,"[0,0,100,0,0,0,0,0,0,0,0,0]",2025-01-17,76.0,1
Simplilearn Online Bootcamps | Launch Your Career,simplilearn,simplilearn,3,1,1,50,2.31,2,0.01,4,0.0,0.14,4770000,"[0,0,0,0,0,0,0,0,0,0,100,0]",2025-01-06,39.0,0
Simplilearn® Courses | Online Certification Courses,simplilearn,simplilearn,3,2,2,140,2.31,1,0.0,2,0.0,0.14,4210000,"[0,0,0,0,0,0,0,100,0,0,81,0]",2025-01-22,49.0,0
Simplilearn Online Bootcamps - Online Certification Courses,simplilearn,simplilearn,3,2,2,140,2.31,1,0.0,2,0.0,0.14,4480000,"[0,0,0,0,0,0,0,0,100,0,0,0]",2025-01-18,38.0,0
Simplilearn Online Bootcamps | Trusted by 3 Million+ Learners,simplilearn,simplilearn,3,1,1,30,2.31,1,0.0,2,0.0,0.14,4270000,"[2,5,0,2,2,2,2,53,7,2,5,5]",2025-01-21,44.0,0
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn,simplilearn,3,2,2,50,2.31,0,0.0,0,0.0,0.14,4410000,"[0,0,100,0,0,0,0,0,0,0,0,0]",2025-01-17,76.0,1
Simplilearn® Courses | Online Certification Courses,simplilearn,simplilearn,3,2,2,70,1.88,0,0.0,0,0.0,0.16,4820000,"[3,2,0,4,5,0,0,0,8,0,0,4]",2024-12-29,44.0,0
Simplilearn® Official Site | Online Courses,simplilearn americas,simplilearn,3,1,1,720,1.88,33,0.17,62,0.09,0.16,775000,"[0,0,0,0,0,0,55,65,44,100,4,8]",2024-12-31,37.0,0
Simplilearn TOGAF - Online Certification Courses,simplilearn artificial intelligence engineer,simplilearn,3,6,6,30,4.19,0,0.0,0,0.0,0.43,108000,"[11,23,82,11,23,11,11,11,11,11,11,11]",2025-01-23,33.0,0
Simplilearn® ITIL Programs | Online Certification Courses,simplilearn artificial intelligence engineer,simplilearn,3,1,1,30,4.19,1,0.0,4,0.0,0.43,108000,"[11,23,82,11,23,11,11,11,11,11,11,11]",2025-01-23,33.0,0
Simplilearn® Courses | Online Certification Courses,simplilearn artificial intelligence engineer,simplilearn,3,4,4,30,9.33,0,0.0,0,0.0,0.95,149000,"[11,11,23,82,11,23,11,11,11,11,11,11]",2024-12-27,24.0,0
Simplilearn® Courses,simplilearn azure,simplilearn,3,1,1,90,0.0,4,0.02,0,0.0,0.43,231000,"[2,2,2,2,2,2,2,100,10,2,2,2]",2025-01-20,36.0,0
Simplilearn ITIL V4 | Online Certification Courses,simplilearn cissp,simplilearn,3,1,1,30,5.91,1,0.0,5,0.0,0.63,46,"[18,18,18,18,18,18,18,100,100,18,18,18]",2025-01-05,37.0,0
Simplilearn® Training Programs | Get Certified. Get Ahead.,simplilearn cloud architect,simplilearn,3,1,1,40,0.0,1,0.0,0,0.0,0.05,372000,"[11,11,11,11,11,11,11,11,11,11,64,64]",2025-01-13,34.0,0
Simplilearn Courses | Online Courses,simplilearn courses,simplilearn,3,1,1,70,6.31,3,0.01,18,0.02,0.38,3310000,"[8,11,11,11,8,15,3,18,8,23,18,15]",2025-01-09,52.0,0
Simplilearn® Courses | Online Certification Courses,simplilearn data science,simplilearn,3,2,2,90,7.24,1,0.0,7,0.01,0.43,1630000,"[5,7,5,5,5,5,5,35,28,100,12,12]",2025-01-05,51.0,0
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn full stack developer,simplilearn,3,2,2,110,7.51,1,0.0,7,0.01,0.7,333000,"[2,2,0,0,2,2,2,2,11,100,4,2]",2025-01-12,50.0,0
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn generative ai,simplilearn,3,3,3,30,7.87,0,0.0,0,0.0,0.85,568000,"[18,18,18,18,18,18,18,100,100,18,18,18]",2025-01-05,41.0,0
Simplilearn ITIL 4 Training | Online Certification Courses,simplilearn itil,simplilearn,3,1,1,40,8.9,1,0.0,8,0.01,0.48,92100,"[11,11,11,11,11,11,11,64,11,100,11,11]",2025-01-05,41.0,0
Simplilearn® Official Site,simplilearn log in,simplilearn,3,1,1,90,1.31,4,0.02,5,0.0,0.13,61,"[42,65,42,53,100,19,3,3,3,42,3,34]",2025-01-20,19.0,0
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn login,simplilearn,3,1,1,1600,1.31,75,0.4,98,0.15,0.13,64,"[54,79,66,79,54,66,54,54,66,66,54,54]",2025-01-23,57.0,1
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn login,simplilearn,3,2,2,1600,1.31,20,0.1,26,0.04,0.13,75,"[54,79,66,79,54,66,54,54,66,66,54,54]",2025-01-09,55.0,1
Simplilearn® Official Site - Online Certification Courses,simplilearn.com,simplilearn,3,1,1,40,2.44,1,0.0,2,0.0,0.18,4690000,"[10,10,10,10,6,4,6,10,4,6,8,10]",2025-01-15,77.0,1
Simplilearn ITIL 4 Training - Online Certification Courses,skillup by simplilearn,simplilearn,3,1,1,90,4.47,4,0.02,17,0.02,0.31,55,"[15,8,8,11,8,8,6,23,66,6,8,8]",2024-12-31,49.0,0
Simplilearn ITIL 4 Training - Level Up Your Skills,skillup by simplilearn,simplilearn,3,2,2,90,4.47,1,0.0,4,0.0,0.31,55,"[15,8,8,11,8,8,6,23,66,6,8,8]",2024-12-31,49.0,0
TOGAF® Architect Certification | Enroll in TOGAF® Course Now,togaf certification,togaf,10,2,2,1900,2.34,24,0.12,56,0.08,0.52,1440000,"[55,82,82,65,65,65,55,65,65,65,65,65]",2025-01-20,43.0,0
TOGAF® Architect Certification | Enroll in TOGAF® Course Now,togaf certification,togaf,10,1,1,390,2.35,18,0.09,42,0.06,0.41,1460000,"[81,23,19,36,100,44,81,36,67,44,29,23]",2024-12-28,50.0,0
TOGAF® Architect Certification | TOGAF® Free Exam Retake,togaf certification,togaf,10,4,4,1900,2.35,13,0.06,30,0.04,0.41,1750000,"[65,55,82,82,65,65,65,55,65,65,65,65]",2024-12-30,45.0,0
TOGAF® Architect Certification - TOGAF® Free Exam Retake,togaf certification,togaf,10,6,6,1900,2.34,9,0.04,21,0.03,0.52,1440000,"[55,82,82,65,65,65,55,65,65,65,65,65]",2025-01-20,43.0,0
TOGAF® 10 Certification Course | Master TOGAF® Core Concepts,togaf certification,togaf,10,1,1,140,2.35,6,0.03,14,0.02,0.41,2880000,"[6,6,100,9,6,4,66,0,1,1,0,0]",2025-01-01,51.0,0
TOGAF® Certification Exam Cost | TOGAF® Free Exam Retake,togaf certification price,togaf,10,4,4,30,1.94,0,0.0,0,0.0,0.3,384000,"[28,71,28,28,42,28,28,28,28,28,71,28]",2025-01-13,24.0,0
TOGAF® Certification Price - TOGAF® Free Exam Retake,togaf certification training,togaf,10,2,2,90,4.43,1,0.0,4,0.0,0.47,1050000,"[4,5,4,5,6,4,5,3,5,6,5,5]",2025-01-21,33.0,0
TOGAF® 10 Certification Course | Enroll in TOGAF® Course Now,togaf course online,togaf,10,2,2,40,4.94,0,0.0,0,0.0,0.4,313000,"[0,41,11,11,11,11,52,41,17,0,0,100]",2025-01-03,21.0,0
TOGAF® Enterprise Architecture | Master TOGAF® Core Concepts,togaf training,togaf,10,1,1,210,3.85,9,0.04,34,0.05,0.38,4160000,"[54,54,54,43,35,43,35,43,22,66,54,43]",2025-01-25,43.0,0
TOGAF® Enterprise Architecture | Enroll in TOGAF® Course Now,udacity enterprise architecture - togaf,togaf,10,4,4,260,0.0,1,0.0,0,0.0,0.0,131000,"[0,0,0,0,0,0,0,0,0,0,0,100]",2025-01-06,20.0,0
